23:06:20 [INFO] (Info) Create GameServer (ID:10405080), Max Sessions:1000 [OK]
23:06:20 [INFO] (Info) Create GameServer (ID:10452456), Max Sessions:1000 [OK]
23:07:26 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:55005
23:08:31 [INFO] (Close) Session closed ID: 0, Address: 127.0.0.1:55005
23:09:14 [INFO] (Accept) Session accept ID: 1, Address: 127.0.0.1:55009
23:09:54 [INFO] (Close) Session closed ID: 1, Address: 127.0.0.1:55009
23:10:59 [INFO] (Accept) Session accept ID: 2, Address: 127.0.0.1:55010
23:12:08 [INFO] (Close) Session closed ID: 2, Address: 127.0.0.1:55010
23:12:51 [INFO] (Accept) Session accept ID: 3, Address: 127.0.0.1:55028
23:13:03 [INFO] (Close) Session closed ID: 3, Address: 127.0.0.1:55028
23:16:52 [INFO] (Info) Create GameServer (ID:10396391), Max Sessions:1000 [OK]
23:16:52 [INFO] (Info) Create GameServer (ID:10444765), Max Sessions:1000 [OK]
23:18:05 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:55047
23:18:06 [INFO] (Close) Session closed ID: 0, Address: 127.0.0.1:55047
23:19:35 [INFO] (Accept) Session accept ID: 1, Address: 127.0.0.1:55053
23:19:39 [INFO] (Close) Session closed ID: 1, Address: 127.0.0.1:55053
23:22:30 [INFO] (Info) Create GameServer (ID:10382168), Max Sessions:1000 [OK]
23:22:30 [INFO] (Info) Create GameServer (ID:10465711), Max Sessions:1000 [OK]
