15:52:45 [INFO] (Info) Create GameServer (ID:10417502), Max Sessions:1000 [OK]
15:52:45 [INFO] (Info) Create GameServer (ID:10460045), Max Sessions:1000 [OK]
15:53:01 [INFO] (Info) Create GameServer (ID:10397623), Max Sessions:1000 [OK]
15:53:01 [INFO] (Info) Create GameServer (ID:10419917), Max Sessions:1000 [OK]
15:53:17 [INFO] (Info) Create GameServer (ID:10474927), Max Sessions:1000 [OK]
15:53:17 [INFO] (Info) Create GameServer (ID:10475373), Max Sessions:1000 [OK]
16:15:37 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:56068
16:15:53 [INFO] (Close) Session closed ID: 0, Address: 127.0.0.1:56068
16:22:29 [INFO] (Accept) Session accept ID: 1, Address: 127.0.0.1:56107
16:27:15 [INFO] (Close) Session closed ID: 1, Address: 127.0.0.1:56107
16:45:50 [INFO] (Accept) Session accept ID: 2, Address: 127.0.0.1:56175
16:45:58 [INFO] (Close) Session closed ID: 2, Address: 127.0.0.1:56175
16:53:52 [INFO] (Accept) Session accept ID: 3, Address: 127.0.0.1:56189
16:57:43 [INFO] (Close) Session closed ID: 3, Address: 127.0.0.1:56189
16:57:52 [INFO] (Accept) Session accept ID: 4, Address: 127.0.0.1:56201
17:00:18 [INFO] (Close) Session closed ID: 4, Address: 127.0.0.1:56201
17:11:02 [INFO] (Accept) Session accept ID: 5, Address: 127.0.0.1:56447
17:12:16 [INFO] (Close) Session closed ID: 5, Address: 127.0.0.1:56447
17:13:06 [INFO] (Accept) Session accept ID: 6, Address: 127.0.0.1:56456
17:13:33 [INFO] (Close) Session closed ID: 6, Address: 127.0.0.1:56456
17:14:57 [INFO] (Accept) Session accept ID: 7, Address: 127.0.0.1:56464
17:15:33 [INFO] (Close) Session closed ID: 7, Address: 127.0.0.1:56464
17:23:28 [INFO] (Info) Create GameServer (ID:10477540), Max Sessions:1000 [OK]
17:23:28 [INFO] (Info) Create GameServer (ID:10439700), Max Sessions:1000 [OK]
17:23:43 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:56487
17:25:13 [INFO] (Info) Create GameServer (ID:10412176), Max Sessions:1000 [OK]
17:25:13 [INFO] (Info) Create GameServer (ID:10474972), Max Sessions:1000 [OK]
17:25:21 [INFO] (Accept) Session accept ID: 0, Address: 127.0.0.1:56497
